,de,en,es,fr,pl
633,"In diesem Zusammenhang wurde hier schon mehrfach gesagt, daß die Kommission ihre nachgängigen Kontrollen drastisch verbessern und verstärken will und daß diese Kontrollen in aller Unabhängigkeit gemacht werden sollen, ohne daß künftig etwas unter den Teppich gekehrt wird.","As far as this is concerned, a number of people have already referred to the fact that the Commission intends to drastically improve and consolidate its follow-up checks and that these checks should be carried out on a completely independent basis, with no sweeping of matters under the carpet in future.",Creo que la propuesta se fía a plazos muy largos.,Quelles sont les conséquences qu'en a déjà tirées ou que s'apprête à en tirer la Commission ?,"Mówiąc konkretnie, chodzi o wyasygnowanie niespełna 90 milionów dolarów amerykańskich na najbliższe dwa lata i jeden kwartał, z czego ponad jednej trzeciej tej kwoty jeszcze w tym roku."
634,Selbstverständlich kann das nur begrüßt werden.,"Naturally, this is only to be welcomed.","Por último, señor Presidente, creo que es preciso favorecer la creación de pequeñas y medianas empresas que, homologadas con rigor y con la debida autorización, puedan fomentar la creación de empleo en este ámbito tan importante, evitando los monopolios de las grandes empresas.","Il me paraît également nécessaire de renforcer le contrôle à charge de l'affréteur, en l'occurrence le pétrolier.","Wszystko po to, aby zagwarantować funkcjonowanie trybunału."
635,"Was ich nicht verstehe, ist, daß sozusagen als Preis dafür auf unabhängige - ich betone, auf unabhängige - Vorabkontrollen verzichtet werden soll.","What I do not understand is why this has to come at a price, as it were, that is, of having to dispense with independent - and I stress, independent - prior approval.","Señora Presidenta, el Grupo Socialista propone la siguiente enmienda oral.","Si sa responsabilité financière est engagée, sans doute ce contrôle sera-t-il plus exercé.","Tak naprawdę od osądzenia przez specjalny trybunał dla Sierra Leone byłego prezydenta Liberii, Charlesa Taylora, i od rozpatrzenia 17 zarzutów zbrodni przeciwko ludzkości, zbrodni wojennych, w tym morderstw i przestępstw seksualnych, zależeć będzie autorytet wymiaru sprawiedliwości sięgającego ponad granice poszczególnych krajów."
636,"Bislang können Zahlungen der Kommission nur erfolgen, wenn der Anweisungsbefugte dafür den Auftrag unterschrieben hat und wenn der Finanzkontrolleur seine Zustimmung im Sichtvermerk erteilt hat.","Up until now, the Commission' s payments could only be made when the authorising officer signed the appropriate order and the financial controller gave his approval in the form of a visa.",La leo en inglés porque es la lengua original de la resolución.,"Enfin, une coordination des autorités maritimes est nécessaire pour aboutir à une sorte de dispositif européen analogue aux gardes-côtes qui surveillent les côtes des États-Unis.","Należy w tym miejscu specjalnie podziękować dwóm krajom: Wielkiej Brytanii i Holandii, które szczególnie wspierają finansowo działalność trybunału."
637,Es gilt also das Prinzip der zwei Schlüssel.,"And so it is the ""two key"" principle that applies here.","Condena al Sr. Haider por sus insultos contra algunos de los Estados miembros de la UE y sus líderes contenidos en las declaraciones de los últimos días, que el Ministro de Asuntos Exteriores, el Sr. Schüssel, no ha condenado","Monsieur le Président, Madame la Commissaire, je vous ai apporté un petit cadeau : voilà une galette de mazout envoyée par une habitante de l'île de Noirmoutier qui m'écrit ceci : ""à chaque marée, la plage est couverte de fuel lourd échappé de l'Erika.","Istotna rola przypadać też będzie ONZ, która nie może w tej sprawie zachowywać się jak Poncjusz Piłat i umywać rąk."
638,Künftig soll ein einziger Schlüssel genügen.,A single key is to suffice in future.,(Más de doce diputados se ponen de pie) (El Parlamento adopta la resolución),"À chaque marée, volontaires, militaires, pompiers retirent d'immenses galettes de ce goudron noir visqueux et épais.","Cieszę się, że w tej sprawie Parlament Europejski będzie mówił jednym głosem."
639,"Der Finanzkontrolleur soll vorab nicht mehr prüfen, jedenfalls wenn es nach den Reformplänen geht, wie sie jetzt in der Kommission diskutiert werden.","The financial controller is no longer to make advance checks, if all goes to plan as regards the reforms currently under discussion within the Commission.",EXPLICACIONES DE VOTO,"À quand le retour à la propreté et la fin de cet accident dévastateur"" ?","w imieniu grupy PPE-DE. - Panie Przewodniczący! Sąd specjalny w Sierra Leone ma prawo liczyć na naszą szczególną uwagę, ponieważ słusznie jest przedstawiany jako nowy, prawie doskonały model dochodzenia sprawiedliwości."
640,"Mit Verlaub, Herr Kinnock, das ist ein bißchen so, wie wenn man die Polizei abschaffen würde, weil sie nicht in der Lage war, Verbrechen zu verhindern.","If you will pardon me for saying so, Mr Kinnock, what you are proposing is a little like abolishing the police because they were unable to prevent crimes.",Informe McNally (A5-0082/1999),"Oui, cet accident de l'Erika, comme celui du bateau russe en Turquie d'ailleurs, est inacceptable et intolérable au moment où la haute technologie est portée au zénith.","Co więcej jest dowodem na to, że międzynarodowy trybunał do spraw sądzenia zbrodni wojennych może być umiejscowiony w kraju, w którym zostały te zbrodnie popełnione, dając bezpośredni dostęp do sprawiedliwości lokalnej populacji, zachowując przy tym pełną efektywność przy znacznie niższych kosztach w porównaniu do swoich odpowiedników w innych regionach świata."
641,"Worum es aber doch gehen müßte, ist, die Kontrollen wirksamer zu gestalten.","What we really need to focus on, however, is making the checks more effective.","Señora Presidenta, éste es un tema demasiado serio como para tratarlo como una urgencia en este momento.","Il est d'autant plus inacceptable qu'il se produit vingt ans après la catastrophe de l'Amoco Cadiz, alors que l'on avait déjà dit et répété à plusieurs reprises ""plus jamais çà !"".","Po raz pierwszy w historii udało się skazać urzędującą głowę państwa afrykańskiego, Charlsa Taylora, za zbrodnie przeciwko ludności, jak również prawnie zdefiniować pojęcie dzieci żołnierzy i przymusowych małżeństw, aby było możliwe skazywanie winnych tych zbrodni."
642,"Das läßt sich dadurch erreichen, daß man die Finanzkontrolleure künftig nicht mehr zwingt, ausnahmslos jeden Zahlungsvorgang mit ihrem Sichtvermerk zu versehen.","This could be achieved by no longer insisting, in future, that the financial controllers furnish every single payment transaction with their approval stamp.","En primer lugar, el Parlamento Europeo se ha pronunciado ya sobre el tema del General Pinochet, pero además, en este momento, hay que recordar varias cosas.","Il est bien sûr de la responsabilité des politiques et, donc, de la nôtre, de garantir la sécurité des transports maritimes.","Niestety sąd specjalny w Sierra Leone może przestać działać, ponieważ zaczyna brakować mu pieniędzy."
643,"Wer alles kontrollieren muß, kontrolliert eben am Ende gar nichts.",It is precisely those who feel the need to control everything that end up controlling nothing at all.,"La primera es que éste es un tema que está sub iudice en varios países europeos, y recuerdo a sus señorías que todavía no existe un espacio penal europeo ni una jurisdicción europea.",Nous devons véritablement garantir aux citoyens qu'un tel désastre ne se reproduira plus.,To kwota niespełna 90 milionów dolarów by procesy przeciwko największym zbrodniarzom były kontynuowane.
644,"Die Vorabkontrollen sollten also zukünftig gezielt da erfolgen, wo Unsicherheiten oder Risiken bestehen.","Therefore, in future, prior approval should take place in a targeted manner, that is, only in cases of uncertainty or risk.","Estamos a favor del Tribunal Penal Internacional, pero todavía no existe.","Or, en vous écoutant, Madame la Commissaire, nous sommes un peu frustrés parce que ceux qui se sont déjà occupés de ces questions savent que la Commission et le Parlement avaient préparé, en 1992 je crois, un texte très intéressant qui contenait déjà toutes les propositions contenues dans la résolution établie aujourd'hui par la commission des transports.","Stąd zwracam się z apelem do wszystkich krajów członkowskich, a także do Komisji o jak najszybsze znalezienie finansów na wsparcie dla sądu specjalnego w Sierra Leone, gdyż w innym razie kontynuacja procesu pokojowego oraz rekoncyliacja w Sierra Leone i w całej Afryce Zachodniej staną pod wielkim znakiem zapytania."
645,"Die für die Finanzkontrolle zuständigen Beamten sollten dezentral eingesetzt werden, also in den operativen Generaldirektionen bei ihren Kollegen, die das Geld ausgeben, damit sie sofort greifbar sind, wenn Probleme auftreten, und damit die Kontrollen weniger schwerfällig und zeitraubend werden.","The officials responsible for financial control should be deployed on a decentralised basis, that is, in the operational Directorates-General, amongst those of their colleagues that spend the money, so that they are immediately available when problems arise and so as to render the checks less ponderous and time-consuming.","En segundo lugar, en este momento hay un gobierno democráticamente elegido en Chile, presidido por Ricardo Núñez, cuya primera manifestación ha sido que todos los que han cometido este tipo de delitos tienen que rendir cuentas a la justicia, y recuerdo que, en estos momentos, la justicia chilena, que es independiente, está examinando 60 querellas contra el General Pinochet y sus crímenes contra la humanidad.",Parce que c'est vrai qu'il faut le dire et le redire : l'Erika c'est la catastrophe de trop.,"w imieniu grupy PSE. - Panie Przewodniczący! Pani Komisarz! W pełni przyłączam się do wszystkich, którzy wzywają do dokończenia dzieła, do wymierzenia sprawiedliwości w Sierra Leone."
